id,herbal_id,kondisi,status,keterangan
308,301,"Hipertensi, Aritmia, & Penyakit Jantung Koroner",Kontraindikasi Fatal,"Efek: Risiko serangan jantung, stroke, hingga kematian mendadak. Mekanisme: Alkaloid efedrin merangsang reseptor adrenergik alfa dan beta secara kuat, memicu vasokonstriksi (penyempitan pembuluh darah) dan takikardia (detak jantung abnormal). FDA telah melarang suplemen ini."
309,302,-,belum ada data yang ditemukan,belum ada data yang ditemukan
310,303,-,belum ada data yang ditemukan,belum ada data yang ditemukan
311,304,-,belum ada data yang ditemukan,belum ada data yang ditemukan
312,305,-,belum ada data yang ditemukan,belum ada data yang ditemukan
313,306,-,belum ada data yang ditemukan,belum ada data yang ditemukan
314,307,-,belum ada data yang ditemukan,belum ada data yang ditemukan
315,308,-,belum ada data yang ditemukan,belum ada data yang ditemukan
316,309,-,belum ada data yang ditemukan,belum ada data yang ditemukan
317,310,-,belum ada data yang ditemukan,belum ada data yang ditemukan
318,311,-,belum ada data yang ditemukan,belum ada data yang ditemukan
319,312,-,belum ada data yang ditemukan,belum ada data yang ditemukan
320,313,-,belum ada data yang ditemukan,belum ada data yang ditemukan
321,314,-,belum ada data yang ditemukan,belum ada data yang ditemukan
322,315,"Gangguan Cemas (Anxiety), Hipertensi, & Takikardia",Peringatan / Kontraindikasi,"Efek: Memperburuk kecemasan, memicu serangan panik, dan palpitasi jantung. Mekanisme: Guarana mengandung kadar kafein (guaranine) alami yang sangat tinggi (hingga 2-3 kali lipat biji kopi), bertindak sebagai stimulan sistem saraf pusat (SSP) yang sangat kuat."
323,316,-,belum ada data yang ditemukan,belum ada data yang ditemukan
324,317,-,belum ada data yang ditemukan,belum ada data yang ditemukan
325,318,-,belum ada data yang ditemukan,belum ada data yang ditemukan
326,319,-,belum ada data yang ditemukan,belum ada data yang ditemukan
327,320,-,belum ada data yang ditemukan,belum ada data yang ditemukan
328,321,-,belum ada data yang ditemukan,belum ada data yang ditemukan
329,322,-,belum ada data yang ditemukan,belum ada data yang ditemukan
330,323,-,belum ada data yang ditemukan,belum ada data yang ditemukan
331,324,-,belum ada data yang ditemukan,belum ada data yang ditemukan
332,325,-,belum ada data yang ditemukan,belum ada data yang ditemukan
333,326,-,belum ada data yang ditemukan,belum ada data yang ditemukan
334,327,-,belum ada data yang ditemukan,belum ada data yang ditemukan
335,328,-,belum ada data yang ditemukan,belum ada data yang ditemukan
336,329,-,belum ada data yang ditemukan,belum ada data yang ditemukan
337,330,Penyakit Kardiovaskular & Glaukoma Sudut Tertutup,Kontraindikasi Mayor,"Efek: Memicu krisis hipertensi, iskemia miokard (serangan jantung), dan lonjakan tekanan bola mata. Mekanisme: Senyawa aktif synephrine bertindak sebagai stimulan simpatomimetik yang mempersempit pembuluh darah dan secara drastis menaikkan beban kerja organ."
338,331,-,belum ada data yang ditemukan,belum ada data yang ditemukan
339,332,-,belum ada data yang ditemukan,belum ada data yang ditemukan
340,333,-,belum ada data yang ditemukan,belum ada data yang ditemukan
341,334,-,belum ada data yang ditemukan,belum ada data yang ditemukan
342,335,-,belum ada data yang ditemukan,belum ada data yang ditemukan
343,336,-,belum ada data yang ditemukan,belum ada data yang ditemukan
344,337,-,belum ada data yang ditemukan,belum ada data yang ditemukan
345,338,-,belum ada data yang ditemukan,belum ada data yang ditemukan
346,339,-,belum ada data yang ditemukan,belum ada data yang ditemukan
347,340,-,belum ada data yang ditemukan,belum ada data yang ditemukan
348,341,-,belum ada data yang ditemukan,belum ada data yang ditemukan
349,342,-,belum ada data yang ditemukan,belum ada data yang ditemukan
350,343,-,belum ada data yang ditemukan,belum ada data yang ditemukan
351,344,-,belum ada data yang ditemukan,belum ada data yang ditemukan
352,345,-,belum ada data yang ditemukan,belum ada data yang ditemukan
353,346,-,belum ada data yang ditemukan,belum ada data yang ditemukan
354,347,-,belum ada data yang ditemukan,belum ada data yang ditemukan
355,348,-,belum ada data yang ditemukan,belum ada data yang ditemukan
356,349,-,belum ada data yang ditemukan,belum ada data yang ditemukan
357,350,Kehamilan & Menyusui,Kontraindikasi,"Efek: Cacat lahir pada janin laki-laki atau gangguan perkembangan genitalia. Mekanisme: Saw Palmetto memiliki aktivitas anti-androgenik yang menghambat enzim 5-alpha-reductase, mencegah konversi testosteron menjadi DHT yang sangat krusial bagi janin laki-laki."
358,350,Kanker Sensitif Hormon (Payudara/Ovarium),Peringatan,Efek: Interaksi hormonal yang tidak terprediksi. Mekanisme: Berpotensi memiliki efek estrogenik/anti-estrogenik lemah pada jaringan sensitif.
359,351,-,belum ada data yang ditemukan,belum ada data yang ditemukan
360,352,-,belum ada data yang ditemukan,belum ada data yang ditemukan
361,353,-,belum ada data yang ditemukan,belum ada data yang ditemukan
362,354,-,belum ada data yang ditemukan,belum ada data yang ditemukan
363,355,-,belum ada data yang ditemukan,belum ada data yang ditemukan
364,356,-,belum ada data yang ditemukan,belum ada data yang ditemukan
365,357,-,belum ada data yang ditemukan,belum ada data yang ditemukan
366,358,-,belum ada data yang ditemukan,belum ada data yang ditemukan
367,359,-,belum ada data yang ditemukan,belum ada data yang ditemukan
368,360,-,belum ada data yang ditemukan,belum ada data yang ditemukan
369,361,-,belum ada data yang ditemukan,belum ada data yang ditemukan
370,362,-,belum ada data yang ditemukan,belum ada data yang ditemukan
371,363,-,belum ada data yang ditemukan,belum ada data yang ditemukan
372,364,-,belum ada data yang ditemukan,belum ada data yang ditemukan
373,365,-,belum ada data yang ditemukan,belum ada data yang ditemukan
374,366,-,belum ada data yang ditemukan,belum ada data yang ditemukan
375,367,-,belum ada data yang ditemukan,belum ada data yang ditemukan
376,368,-,belum ada data yang ditemukan,belum ada data yang ditemukan
377,369,-,belum ada data yang ditemukan,belum ada data yang ditemukan
378,370,-,belum ada data yang ditemukan,belum ada data yang ditemukan
379,371,-,belum ada data yang ditemukan,belum ada data yang ditemukan
380,372,-,belum ada data yang ditemukan,belum ada data yang ditemukan
381,373,-,belum ada data yang ditemukan,belum ada data yang ditemukan
382,374,-,belum ada data yang ditemukan,belum ada data yang ditemukan
383,375,Penyakit Hati (Riwayat Hepatitis / Penyakit Liver),Kontraindikasi,"Efek: Kerusakan sel hati idiopatik (Hepatotoksisitas akut). Mekanisme: Meski mekanismenya belum sepenuhnya dipahami, otoritas medis (seperti MHRA dan FDA) melaporkan banyak kasus ikterus, kelelahan, hingga gagal hati yang memerlukan transplantasi terkait konsumsi Black Cohosh."
384,376,-,belum ada data yang ditemukan,belum ada data yang ditemukan
385,377,-,belum ada data yang ditemukan,belum ada data yang ditemukan
386,378,-,belum ada data yang ditemukan,belum ada data yang ditemukan
387,379,-,belum ada data yang ditemukan,belum ada data yang ditemukan
388,380,-,belum ada data yang ditemukan,belum ada data yang ditemukan
389,381,-,belum ada data yang ditemukan,belum ada data yang ditemukan
390,382,-,belum ada data yang ditemukan,belum ada data yang ditemukan
391,383,-,belum ada data yang ditemukan,belum ada data yang ditemukan
392,384,-,belum ada data yang ditemukan,belum ada data yang ditemukan
393,385,-,belum ada data yang ditemukan,belum ada data yang ditemukan
394,386,-,belum ada data yang ditemukan,belum ada data yang ditemukan
395,387,-,belum ada data yang ditemukan,belum ada data yang ditemukan
396,388,-,belum ada data yang ditemukan,belum ada data yang ditemukan
397,389,-,belum ada data yang ditemukan,belum ada data yang ditemukan
398,390,"Gagal Ginjal, Penyakit Jantung, & PTSD/Gangguan Panik",Kontraindikasi Fatal,"Efek: Gagal ginjal akut, krisis serangan jantung, dan memicu episode panik yang sangat ekstrem. Mekanisme: Alkaloid yohimbine adalah antagonis reseptor adrenergik alpha-2 yang memicu pelepasan norepinefrin sentral secara masif dan tak terkendali di sistem saraf parasimpatik."
399,391,-,belum ada data yang ditemukan,belum ada data yang ditemukan
400,392,-,belum ada data yang ditemukan,belum ada data yang ditemukan
401,393,-,belum ada data yang ditemukan,belum ada data yang ditemukan
402,394,-,belum ada data yang ditemukan,belum ada data yang ditemukan
403,395,-,belum ada data yang ditemukan,belum ada data yang ditemukan
404,396,-,belum ada data yang ditemukan,belum ada data yang ditemukan
405,397,-,belum ada data yang ditemukan,belum ada data yang ditemukan
406,398,-,belum ada data yang ditemukan,belum ada data yang ditemukan
407,399,-,belum ada data yang ditemukan,belum ada data yang ditemukan
408,400,-,belum ada data yang ditemukan,belum ada data yang ditemukan
409,401,Gangguan Pendarahan & Ulkus Peptikum,Kontraindikasi Mayor,"Efek: Risiko pendarahan dan iritasi lambung akut berdarah. Mekanisme: Mengandung salisin yang diubah menjadi asam salisilat di dalam tubuh, menghambat enzim COX dan menekan agregasi platelet layaknya obat aspirin."
410,401,Asma (Sensitif Aspirin),Peringatan Keras,Efek: Bronkospasme atau serangan asma parah. Mekanisme: Pasien yang alergi atau sensitif terhadap aspirin dapat mengalami reaksi silang alergi yang sangat berbahaya akibat kandungan salisilat alami.
411,402,-,belum ada data yang ditemukan,belum ada data yang ditemukan
412,403,-,belum ada data yang ditemukan,belum ada data yang ditemukan
413,404,-,belum ada data yang ditemukan,belum ada data yang ditemukan
414,405,-,belum ada data yang ditemukan,belum ada data yang ditemukan
415,406,-,belum ada data yang ditemukan,belum ada data yang ditemukan
416,407,-,belum ada data yang ditemukan,belum ada data yang ditemukan
417,408,-,belum ada data yang ditemukan,belum ada data yang ditemukan
418,409,-,belum ada data yang ditemukan,belum ada data yang ditemukan
419,410,-,belum ada data yang ditemukan,belum ada data yang ditemukan
420,411,-,belum ada data yang ditemukan,belum ada data yang ditemukan
421,412,-,belum ada data yang ditemukan,belum ada data yang ditemukan
422,413,-,belum ada data yang ditemukan,belum ada data yang ditemukan
423,414,-,belum ada data yang ditemukan,belum ada data yang ditemukan
424,415,"Kanker Sensitif Estrogen (Payudara, Uterus, Ovarium, Endometriosis)",Peringatan Keras,"Efek: Stimulasi pertumbuhan jaringan abnormal/kanker. Mekanisme: Ekstrak Maca mengandung fitoestrogen yang dapat bertindak meniru estrogen di dalam tubuh, sehingga berpotensi memperburuk kondisi sel yang bergantung pada proliferasi hormon tersebut."
425,416,-,belum ada data yang ditemukan,belum ada data yang ditemukan
426,417,-,belum ada data yang ditemukan,belum ada data yang ditemukan
427,418,-,belum ada data yang ditemukan,belum ada data yang ditemukan
428,419,-,belum ada data yang ditemukan,belum ada data yang ditemukan
429,420,-,belum ada data yang ditemukan,belum ada data yang ditemukan
430,421,-,belum ada data yang ditemukan,belum ada data yang ditemukan
431,422,-,belum ada data yang ditemukan,belum ada data yang ditemukan
432,423,-,belum ada data yang ditemukan,belum ada data yang ditemukan
433,424,-,belum ada data yang ditemukan,belum ada data yang ditemukan
434,425,-,belum ada data yang ditemukan,belum ada data yang ditemukan
435,426,-,belum ada data yang ditemukan,belum ada data yang ditemukan
436,427,-,belum ada data yang ditemukan,belum ada data yang ditemukan
437,428,-,belum ada data yang ditemukan,belum ada data yang ditemukan
438,429,-,belum ada data yang ditemukan,belum ada data yang ditemukan
439,430,Batu Ginjal (Jenis Kalsium Oksalat),Peringatan / Kontraindikasi,Efek: Meningkatkan pembentukan dan pembesaran batu ginjal. Mekanisme: Ekstrak atau jus cranberry mengandung kadar oksalat yang sangat tinggi. Konsumsi berlebihan secara signifikan meningkatkan ekskresi oksalat di urin (hiperoksaluria) yang langsung mengkristal di ginjal.
440,431,-,belum ada data yang ditemukan,belum ada data yang ditemukan
441,432,-,belum ada data yang ditemukan,belum ada data yang ditemukan
442,433,-,belum ada data yang ditemukan,belum ada data yang ditemukan
443,434,-,belum ada data yang ditemukan,belum ada data yang ditemukan
444,435,-,belum ada data yang ditemukan,belum ada data yang ditemukan
445,436,-,belum ada data yang ditemukan,belum ada data yang ditemukan
446,437,-,belum ada data yang ditemukan,belum ada data yang ditemukan
447,438,-,belum ada data yang ditemukan,belum ada data yang ditemukan
448,439,-,belum ada data yang ditemukan,belum ada data yang ditemukan
449,440,-,belum ada data yang ditemukan,belum ada data yang ditemukan
450,441,-,belum ada data yang ditemukan,belum ada data yang ditemukan
451,442,-,belum ada data yang ditemukan,belum ada data yang ditemukan
452,443,-,belum ada data yang ditemukan,belum ada data yang ditemukan
453,444,-,belum ada data yang ditemukan,belum ada data yang ditemukan
454,445,-,belum ada data yang ditemukan,belum ada data yang ditemukan
455,446,-,belum ada data yang ditemukan,belum ada data yang ditemukan
456,447,-,belum ada data yang ditemukan,belum ada data yang ditemukan
457,448,-,belum ada data yang ditemukan,belum ada data yang ditemukan
458,449,-,belum ada data yang ditemukan,belum ada data yang ditemukan
459,450,"Kanker Sensitif Hormon (Payudara, Uterus)",Peringatan,"Efek: Kemungkinan merangsang proliferasi jaringan. Mekanisme: Beberapa studi in vitro menunjukkan ekstrak milk thistle (terutama silymarin) memiliki aktivitas pengikatan reseptor estrogenik lemah, yang mungkin kurang aman bagi wanita dengan kanker hormon-positif."
460,451,-,belum ada data yang ditemukan,belum ada data yang ditemukan
461,452,-,belum ada data yang ditemukan,belum ada data yang ditemukan
462,453,-,belum ada data yang ditemukan,belum ada data yang ditemukan
463,454,-,belum ada data yang ditemukan,belum ada data yang ditemukan
464,455,-,belum ada data yang ditemukan,belum ada data yang ditemukan
465,456,-,belum ada data yang ditemukan,belum ada data yang ditemukan
466,457,-,belum ada data yang ditemukan,belum ada data yang ditemukan
467,458,-,belum ada data yang ditemukan,belum ada data yang ditemukan
468,459,-,belum ada data yang ditemukan,belum ada data yang ditemukan
469,460,-,belum ada data yang ditemukan,belum ada data yang ditemukan
470,461,-,belum ada data yang ditemukan,belum ada data yang ditemukan
471,462,-,belum ada data yang ditemukan,belum ada data yang ditemukan
472,463,-,belum ada data yang ditemukan,belum ada data yang ditemukan
473,464,-,belum ada data yang ditemukan,belum ada data yang ditemukan
474,465,-,belum ada data yang ditemukan,belum ada data yang ditemukan
475,466,-,belum ada data yang ditemukan,belum ada data yang ditemukan
476,467,-,belum ada data yang ditemukan,belum ada data yang ditemukan
477,468,-,belum ada data yang ditemukan,belum ada data yang ditemukan
478,469,-,belum ada data yang ditemukan,belum ada data yang ditemukan
479,470,-,belum ada data yang ditemukan,belum ada data yang ditemukan
480,471,-,belum ada data yang ditemukan,belum ada data yang ditemukan
481,472,-,belum ada data yang ditemukan,belum ada data yang ditemukan
482,473,-,belum ada data yang ditemukan,belum ada data yang ditemukan
483,474,-,belum ada data yang ditemukan,belum ada data yang ditemukan
484,475,Kehamilan,Kontraindikasi Fatal,"Efek: Persalinan prematur atau keguguran. Mekanisme: Asam risinoleat merangsang reseptor prostaglandin EP3 di usus dan rahim, memicu kontraksi otot polos uterus yang sangat kuat. Dahulu kerap disalahgunakan untuk menginduksi persalinan."
485,475,"Obstruksi Usus, Nyeri Perut Akut (Apendisitis)",Kontraindikasi Fatal,Efek: Perforasi atau robeknya dinding usus. Mekanisme: Minyak jarak adalah laksatif stimulan kuat yang memaksa usus bergerak cepat; sangat berbahaya jika dipaksa melewati area usus yang tersumbat atau radang akut.
486,476,-,belum ada data yang ditemukan,belum ada data yang ditemukan
487,477,-,belum ada data yang ditemukan,belum ada data yang ditemukan
488,478,-,belum ada data yang ditemukan,belum ada data yang ditemukan
489,479,-,belum ada data yang ditemukan,belum ada data yang ditemukan
490,480,-,belum ada data yang ditemukan,belum ada data yang ditemukan
491,481,-,belum ada data yang ditemukan,belum ada data yang ditemukan
492,482,-,belum ada data yang ditemukan,belum ada data yang ditemukan
493,483,-,belum ada data yang ditemukan,belum ada data yang ditemukan
494,484,-,belum ada data yang ditemukan,belum ada data yang ditemukan
495,485,-,belum ada data yang ditemukan,belum ada data yang ditemukan
496,486,-,belum ada data yang ditemukan,belum ada data yang ditemukan
497,487,-,belum ada data yang ditemukan,belum ada data yang ditemukan
498,488,-,belum ada data yang ditemukan,belum ada data yang ditemukan
499,489,-,belum ada data yang ditemukan,belum ada data yang ditemukan
500,490,"Penyakit Hati (Hepatitis, Gangguan Fungsi Liver)",Kontraindikasi Fatal,"Efek: Gagal hati akut (Acute Liver Failure) yang memerlukan transplantasi. Mekanisme: Hepatotoksisitas berat dari ekstrak Garcinia (terutama kadar HCA buatan yang sangat tinggi) telah banyak didokumentasikan oleh FDA, memicu nekrosis hepatoseluler seketika pada sebagian individu."
501,491,-,belum ada data yang ditemukan,belum ada data yang ditemukan
502,492,-,belum ada data yang ditemukan,belum ada data yang ditemukan
503,493,-,belum ada data yang ditemukan,belum ada data yang ditemukan
504,494,-,belum ada data yang ditemukan,belum ada data yang ditemukan
505,495,-,belum ada data yang ditemukan,belum ada data yang ditemukan
506,496,-,belum ada data yang ditemukan,belum ada data yang ditemukan
507,497,-,belum ada data yang ditemukan,belum ada data yang ditemukan
508,498,-,belum ada data yang ditemukan,belum ada data yang ditemukan
509,499,-,belum ada data yang ditemukan,belum ada data yang ditemukan
510,500,-,belum ada data yang ditemukan,belum ada data yang ditemukan
511,501,Kehamilan & Menyusui,Kontraindikasi Fatal,"Efek: Risiko keguguran atau kontraksi prematur. Mekanisme: Dong Quai memiliki efek stimulan rahim (uterotonik) dan telah lama digunakan dalam pengobatan tradisional untuk menginduksi menstruasi, sangat berbahaya bagi janin."
512,501,Kanker Payudara & Ovarium (Estrogen-Receptor Positive),Kontraindikasi,Efek: Memacu pertumbuhan tumor/kanker. Mekanisme: Senyawa fitoestrogen pada Dong Quai memiliki aktivitas estrogenik yang dapat merangsang proliferasi sel kanker yang bergantung pada hormon estrogen.
513,502,-,belum ada data yang ditemukan,belum ada data yang ditemukan
514,503,-,belum ada data yang ditemukan,belum ada data yang ditemukan
515,504,-,belum ada data yang ditemukan,belum ada data yang ditemukan
516,505,-,belum ada data yang ditemukan,belum ada data yang ditemukan
517,506,-,belum ada data yang ditemukan,belum ada data yang ditemukan
518,507,-,belum ada data yang ditemukan,belum ada data yang ditemukan
519,508,-,belum ada data yang ditemukan,belum ada data yang ditemukan
520,509,-,belum ada data yang ditemukan,belum ada data yang ditemukan
521,510,-,belum ada data yang ditemukan,belum ada data yang ditemukan
522,511,-,belum ada data yang ditemukan,belum ada data yang ditemukan
523,512,-,belum ada data yang ditemukan,belum ada data yang ditemukan
524,513,-,belum ada data yang ditemukan,belum ada data yang ditemukan
525,514,-,belum ada data yang ditemukan,belum ada data yang ditemukan
526,515,-,belum ada data yang ditemukan,belum ada data yang ditemukan
527,516,-,belum ada data yang ditemukan,belum ada data yang ditemukan
528,517,-,belum ada data yang ditemukan,belum ada data yang ditemukan
529,518,-,belum ada data yang ditemukan,belum ada data yang ditemukan
530,519,-,belum ada data yang ditemukan,belum ada data yang ditemukan
531,520,-,belum ada data yang ditemukan,belum ada data yang ditemukan
532,521,-,belum ada data yang ditemukan,belum ada data yang ditemukan
533,522,-,belum ada data yang ditemukan,belum ada data yang ditemukan
534,523,-,belum ada data yang ditemukan,belum ada data yang ditemukan
535,524,-,belum ada data yang ditemukan,belum ada data yang ditemukan
536,525,Hipertensi Tensi Tinggi (>180/90 mmHg),Kontraindikasi,"Efek: Palpitasi, takikardia, dan peningkatan tekanan darah akut. Mekanisme: Meski bersifat adaptogen, dosis tinggi memiliki sifat stimulasi kardiovaskular ringan yang tidak disarankan bagi penderita hipertensi tak terkontrol."
537,526,-,belum ada data yang ditemukan,belum ada data yang ditemukan
538,527,-,belum ada data yang ditemukan,belum ada data yang ditemukan
539,528,-,belum ada data yang ditemukan,belum ada data yang ditemukan
540,529,-,belum ada data yang ditemukan,belum ada data yang ditemukan
541,530,-,belum ada data yang ditemukan,belum ada data yang ditemukan
542,531,-,belum ada data yang ditemukan,belum ada data yang ditemukan
543,532,-,belum ada data yang ditemukan,belum ada data yang ditemukan
544,533,-,belum ada data yang ditemukan,belum ada data yang ditemukan
545,534,-,belum ada data yang ditemukan,belum ada data yang ditemukan
546,535,-,belum ada data yang ditemukan,belum ada data yang ditemukan
547,536,-,belum ada data yang ditemukan,belum ada data yang ditemukan
548,537,-,belum ada data yang ditemukan,belum ada data yang ditemukan
549,538,-,belum ada data yang ditemukan,belum ada data yang ditemukan
550,539,-,belum ada data yang ditemukan,belum ada data yang ditemukan
551,540,-,belum ada data yang ditemukan,belum ada data yang ditemukan
552,541,-,belum ada data yang ditemukan,belum ada data yang ditemukan
553,542,-,belum ada data yang ditemukan,belum ada data yang ditemukan
554,543,-,belum ada data yang ditemukan,belum ada data yang ditemukan
555,544,-,belum ada data yang ditemukan,belum ada data yang ditemukan
556,545,-,belum ada data yang ditemukan,belum ada data yang ditemukan
557,546,-,belum ada data yang ditemukan,belum ada data yang ditemukan
558,547,-,belum ada data yang ditemukan,belum ada data yang ditemukan
559,548,-,belum ada data yang ditemukan,belum ada data yang ditemukan
560,549,-,belum ada data yang ditemukan,belum ada data yang ditemukan
561,550,Kehamilan,Kontraindikasi Fatal,"Efek: Neonatal Abstinence Syndrome (NAS) pada bayi baru lahir. Mekanisme: Alkaloid kratom menembus plasenta dan memicu ketergantungan fisik janin pada efek opioid, menyebabkan bayi lahir dengan gejala putus zat yang mengancam nyawa."
562,550,Penyakit Hati / Konsumsi Alkohol Berat,Kontraindikasi,Efek: Gagal hati akut (Hepatotoksisitas intrahepatik). Mekanisme: Laporan klinis FDA menunjukkan kratom dosis tinggi (terutama jika dicampur alkohol/obat lain) menyebabkan kerusakan sel hati langsung dengan gejala ikterus parah.
563,551,-,belum ada data yang ditemukan,belum ada data yang ditemukan
564,552,-,belum ada data yang ditemukan,belum ada data yang ditemukan
565,553,-,belum ada data yang ditemukan,belum ada data yang ditemukan
566,554,-,belum ada data yang ditemukan,belum ada data yang ditemukan
567,555,-,belum ada data yang ditemukan,belum ada data yang ditemukan
568,556,-,belum ada data yang ditemukan,belum ada data yang ditemukan
569,557,-,belum ada data yang ditemukan,belum ada data yang ditemukan
570,558,-,belum ada data yang ditemukan,belum ada data yang ditemukan
571,559,-,belum ada data yang ditemukan,belum ada data yang ditemukan
572,560,-,belum ada data yang ditemukan,belum ada data yang ditemukan
573,561,-,belum ada data yang ditemukan,belum ada data yang ditemukan
574,562,-,belum ada data yang ditemukan,belum ada data yang ditemukan
575,563,-,belum ada data yang ditemukan,belum ada data yang ditemukan
576,564,-,belum ada data yang ditemukan,belum ada data yang ditemukan
577,565,-,belum ada data yang ditemukan,belum ada data yang ditemukan
578,566,-,belum ada data yang ditemukan,belum ada data yang ditemukan
579,567,-,belum ada data yang ditemukan,belum ada data yang ditemukan
580,568,-,belum ada data yang ditemukan,belum ada data yang ditemukan
581,569,-,belum ada data yang ditemukan,belum ada data yang ditemukan
582,570,-,belum ada data yang ditemukan,belum ada data yang ditemukan
583,571,-,belum ada data yang ditemukan,belum ada data yang ditemukan
584,572,-,belum ada data yang ditemukan,belum ada data yang ditemukan
585,573,-,belum ada data yang ditemukan,belum ada data yang ditemukan
586,574,-,belum ada data yang ditemukan,belum ada data yang ditemukan
587,575,Bayi Baru Lahir & Kehamilan,Kontraindikasi Fatal,"Efek: Kerusakan otak permanen (Kernikterus) pada bayi. Mekanisme: Alkaloid berberin dapat menembus plasenta (atau lewat ASI) dan melepaskan bilirubin dari ikatannya di protein darah, menyebabkannya menumpuk di otak bayi yang sawar darah-otaknya belum sempurna."
588,576,-,belum ada data yang ditemukan,belum ada data yang ditemukan
589,577,-,belum ada data yang ditemukan,belum ada data yang ditemukan
590,578,-,belum ada data yang ditemukan,belum ada data yang ditemukan
591,579,-,belum ada data yang ditemukan,belum ada data yang ditemukan
592,580,-,belum ada data yang ditemukan,belum ada data yang ditemukan
593,581,-,belum ada data yang ditemukan,belum ada data yang ditemukan
594,582,-,belum ada data yang ditemukan,belum ada data yang ditemukan
595,583,-,belum ada data yang ditemukan,belum ada data yang ditemukan
596,584,-,belum ada data yang ditemukan,belum ada data yang ditemukan
597,585,-,belum ada data yang ditemukan,belum ada data yang ditemukan
598,586,-,belum ada data yang ditemukan,belum ada data yang ditemukan
599,587,-,belum ada data yang ditemukan,belum ada data yang ditemukan
600,588,-,belum ada data yang ditemukan,belum ada data yang ditemukan
601,589,-,belum ada data yang ditemukan,belum ada data yang ditemukan
602,590,-,belum ada data yang ditemukan,belum ada data yang ditemukan
603,591,-,belum ada data yang ditemukan,belum ada data yang ditemukan
604,592,-,belum ada data yang ditemukan,belum ada data yang ditemukan
605,593,-,belum ada data yang ditemukan,belum ada data yang ditemukan
606,594,-,belum ada data yang ditemukan,belum ada data yang ditemukan
607,595,Skizofrenia & Epilepsi,Kontraindikasi Mayor,Efek: Memicu kejang lobus temporal atau kejang umum. Mekanisme: Minyak Evening Primrose (khususnya kandungan Gamma-Linolenic Acid) dapat menurunkan ambang kejang di otak. Hal ini sangat berisiko bagi pasien epilepsi atau skizofrenia yang sedang menggunakan obat fenotiazin.
608,596,-,belum ada data yang ditemukan,belum ada data yang ditemukan
609,597,-,belum ada data yang ditemukan,belum ada data yang ditemukan
610,598,-,belum ada data yang ditemukan,belum ada data yang ditemukan
611,599,-,belum ada data yang ditemukan,belum ada data yang ditemukan
612,600,-,belum ada data yang ditemukan,belum ada data yang ditemukan
613,601,Penyakit Asam Lambung (GERD) & Tukak Lambung,Peringatan Keras,"Efek: Peningkatan nyeri ulu hati dan iritasi lambung. Mekanisme: Schisandra bersifat asam dan merangsang sekresi asam lambung secara berlebih, memperburuk ulkus atau iritasi mukosa gastrointestinal yang sudah ada."
614,601,Kehamilan,Kontraindikasi,"Efek: Risiko kontraksi prematur. Mekanisme: Senyawa aktifnya dilaporkan memiliki efek uterotonik ringan yang mampu menstimulasi kontraksi otot rahim, sehingga berbahaya bagi janin."
615,602,-,belum ada data yang ditemukan,belum ada data yang ditemukan
616,603,-,belum ada data yang ditemukan,belum ada data yang ditemukan
617,604,-,belum ada data yang ditemukan,belum ada data yang ditemukan
618,605,-,belum ada data yang ditemukan,belum ada data yang ditemukan
619,606,-,belum ada data yang ditemukan,belum ada data yang ditemukan
620,607,-,belum ada data yang ditemukan,belum ada data yang ditemukan
621,608,-,belum ada data yang ditemukan,belum ada data yang ditemukan
622,609,-,belum ada data yang ditemukan,belum ada data yang ditemukan
623,610,-,belum ada data yang ditemukan,belum ada data yang ditemukan
624,611,-,belum ada data yang ditemukan,belum ada data yang ditemukan
625,612,-,belum ada data yang ditemukan,belum ada data yang ditemukan
626,613,-,belum ada data yang ditemukan,belum ada data yang ditemukan
627,614,-,belum ada data yang ditemukan,belum ada data yang ditemukan
628,615,Gangguan Bipolar & Skizofrenia,Kontraindikasi Mayor,"Efek: Memicu episode mania, agitasi parah, dan insomnia. Mekanisme: Sifat antidepresan dan stimulan adaptogenik dari Rhodiola bertindak sebagai inhibitor monoamine oxidase (MAO) alami, meningkatkan level serotonin dan dopamin yang dapat menyebabkan overstimulasi otak pada pasien bipolar."
629,616,-,belum ada data yang ditemukan,belum ada data yang ditemukan
630,617,-,belum ada data yang ditemukan,belum ada data yang ditemukan
631,618,-,belum ada data yang ditemukan,belum ada data yang ditemukan
632,619,-,belum ada data yang ditemukan,belum ada data yang ditemukan
633,620,-,belum ada data yang ditemukan,belum ada data yang ditemukan
634,621,-,belum ada data yang ditemukan,belum ada data yang ditemukan
635,622,-,belum ada data yang ditemukan,belum ada data yang ditemukan
636,623,-,belum ada data yang ditemukan,belum ada data yang ditemukan
637,624,-,belum ada data yang ditemukan,belum ada data yang ditemukan
638,625,-,belum ada data yang ditemukan,belum ada data yang ditemukan
639,626,-,belum ada data yang ditemukan,belum ada data yang ditemukan
640,627,-,belum ada data yang ditemukan,belum ada data yang ditemukan
641,628,-,belum ada data yang ditemukan,belum ada data yang ditemukan
642,629,-,belum ada data yang ditemukan,belum ada data yang ditemukan
