id,herbal_id,ringkasan,resep_rumahan,keamanan_praktis
181,181,Bunga untuk mencegah keparahan flu dan pilek.,Minum teh echinacea.,Aman.
182,182,Teh penenang sebelum tidur.,Seduh teh chamomile.,Aman.
183,183,Bunga ungu yang wanginya hilangkan cemas.,Hirup uap teh lavender.,Aman.
184,184,Menghilangkan mual dan pusing.,Teh peppermint panas.,Aman.
185,185,Rosemary meningkatkan memori otak.,Bumbu daging atau teh.,Aman.
186,186,Thyme meredakan batuk kering kronis.,Seduh teh thyme.,Aman.
187,187,Oregano memiliki sifat antibiotik alami.,Taburkan di masakan.,Aman.
188,188,Sage membantu radang tenggorokan.,Kumur dengan teh sage.,Aman.
189,189,Basil atasi perut kembung.,Iris ke makanan.,Aman.
190,190,Parsley mendetoksifikasi ginjal dari logam berat.,Jus parsley.,Aman.
191,191,Cilantro (daun ketumbar) singkirkan merkuri dari tubuh.,Campur ke salad.,Aman.
192,192,Dill mengatasi kembung pada bayi.,Teh dill ringan.,Aman.
193,193,Tarragon perbaiki nafsu makan.,Sebagai bumbu masak.,Aman.
194,194,Marjoram normalkan tekanan darah.,Teh herbal.,Aman.
195,195,Valerian obat tidur herbal paling terkenal.,Teh akar valerian 1 jam sebelum tidur.,Aman.
196,196,Ginkgo lancarkan aliran darah ke otak cegah pikun.,Minum suplemen ekstrak ginkgo.,Awas bagi pasien pengencer darah.
197,197,Saffron rempah termahal untuk anti-depresan alami.,Rendam 3 helai saffron di air.,Aman.
198,198,Bunga lawang adalah bahan utama obat Tamiflu (antivirus).,Rebus bersama rempah lain.,Aman.
199,199,Klabet (fenugreek) sangat ampuh melancarkan ASI.,Rebus biji klabet.,Aman.
200,200,Biji sawi (mustard) panaskan sendi rematik.,Tumbuk dan tempel di lutut.,Aman pemakaian luar.
201,201,Sayuran pahit lalapan yang bagus untuk peradangan dan infeksi bakteri.,Rebus sebentar sebagai lalapan.,Jangan makan mentah terlalu banyak (sedikit toksik).
202,202,Daun perasan kental untuk meredakan panas dalam dan tekanan darah tinggi.,"Peras daun dengan air matang, diamkan hingga mengental.",Aman dikonsumsi harian.
203,203,"Sering dibuat agar-agar hitam, ampuh meredakan panas dalam dan sariawan.",Rebus herba kering lalu saring airnya.,Aman dikonsumsi.
204,204,"Tanaman menjalar di pantai, getahnya untuk obat sengatan ubur-ubur.",Tumbuk daun dan tempel di area sengatan.,Aman untuk pemakaian luar.
205,205,Gulma kaya Omega-3 nabati untuk kesehatan jantung.,Rebus sayur krokot.,Aman.
206,206,Lalapan wangi yang kaya kalsium dan menjaga kekuatan tulang.,Makan mentah atau rebus sebentar.,Aman.
207,207,Lalapan segar pegunungan penurun hipertensi ringan.,Makan mentah segar.,Aman.
208,208,"Mirip kemangi, bumbu masakan Minang, penurun demam.",Rebus daun untuk teh.,Aman.
209,209,Akar manis untuk obat batuk sirup dan ekspektoran alami.,Rebus akar kering.,Hati-hati konsumsi berlebih picu hipertensi.
210,210,Rempah premium pelega tenggorokan dan pewangi masakan arab.,Seduh bersama teh atau kopi.,Aman.
211,211,Biji manis penurun kembung perut dan kolik.,Seduh biji dengan air panas.,Aman.
212,212,Bumbu masak tajam penurun kolesterol dan antibakteri.,Sangrai dan tumbuk untuk bumbu.,Aman.
213,213,"Bahan dasar kecap, tinggi fitoestrogen, baik untuk wanita menopause.",Olah menjadi susu atau kecap.,Aman.
214,214,Rimpang pahit penambah nafsu makan dan obat cacing.,"Parut dan peras, campur madu.",Aman.
215,215,Temu eksotis untuk obat kram perut.,Rebus rimpang.,Aman.
216,216,Campuran lulur tradisional penghalus kulit.,Parut untuk lulur badan.,Aman luar.
217,217,"Rimpang beraroma mangga, bagus untuk maag.",Rebus dan minum hangat.,Aman.
218,218,Rimpang ungu gelap untuk obat memar dan keseleo.,Parut dan bobok di area memar.,Aman luar.
219,219,Kulit kayu berbau harum manis untuk relaksasi dan jamu.,Rebus bersama jamu lain.,Aman.
220,220,"Mirip kayu manis, untuk obat masuk angin dan rematik.",Rebus kulit kayu.,Aman.
221,221,"Kulit kayu lada-ladaan, pewangi dan penghangat tubuh.",Seduh kulit atau bijinya.,Aman.
222,222,"Lada yang telah dikupas, lebih lembut di lambung daripada lada hitam.",Gunakan sebagai bumbu kuah.,Aman.
223,223,"Merica batak yang kebas di lidah, kaya antioksidan peningkat imun.",Tumbuk halus untuk sambal.,Aman.
224,224,Bunga harum untuk penurun kolesterol dan bau badan.,Iris untuk sambal atau pecel.,Aman.
225,225,Bunga mistis namun secara medis mengobati infeksi saluran kemih.,Rebus bunga kering.,Aman dosis wajar.
226,226,"Biji penghasil mentega tengkawang, obat bibir pecah-pecah.",Oleskan mentega tengkawang.,Aman.
227,227,Daun pakan ulat sutra penurun gula darah.,Seduh teh daun murbei.,Aman.
228,228,"Bumbu wangi kari, merangsang pertumbuhan rambut.",Rebus daun atau tumbuk untuk rambut.,Aman.
229,229,Asam peluntur lemak tubuh alami.,Rebus 2 iris asam gelugur.,Aman (awas perih lambung).
230,230,"Asam pengawet alami, kaya vitamin C.",Campur masakan.,Aman.
231,231,Jeruk kecil kaya vitamin C pereda batuk.,Peras campur kecap.,Aman.
232,232,"Jeruk wangi penyedap sambal, penambah selera makan.",Peras airnya.,Aman.
233,233,Buah Papua penangkal radikal bebas dan kanker kronis.,Minum ekstrak minyak buah merah.,Aman.
234,234,Buah Papua kaya vitamin E untuk kulit kenyal.,Makan langsung.,Aman.
235,235,Kulit rambutan ampuh hentikan diare.,Rebus kulit buah.,Aman.
236,236,"Biji duku sangat pahit, obat malaria tradisional.",Tumbuk biji (sangat pahit).,Aman dosis kecil.
237,237,Biji nangka rebus tingkatkan energi karbohidrat kompleks.,Rebus biji nangka.,Aman.
238,238,Daun sukun kuning ampuh cuci ginjal dan turunkan kreatinin.,Rebus daun sukun tua/kuning.,Aman.
239,239,Pisang pereda diare dan sumber kalium tinggi.,Kukus pisang.,Aman.
240,240,Daging buah merah peningkat trombosit DBD parah.,Jus daging buah jambu merah.,Aman.
241,241,Kulit batang jambu bol untuk obat sariawan berat.,Rebus kulit kayu untuk kumur.,Aman.
242,242,Kulit ari salak cegah sembelit.,Makan buah utuh dengan kulit arinya.,Aman.
243,243,Buah naga penurun tekanan darah dan lancarkan BAB.,Makan buah segar.,Aman.
244,244,Daun dan bunga ampuh untuk obat tetes mata rabun/katarak ringan.,"Rendam bunga di air bersih, teteskan ke mata.","Sangat perih, gunakan hati-hati!"
245,245,Daun berlendir pelancar pencernaan dan baik untuk lambung.,Rebus untuk sayur bening.,Aman.
246,246,Sayur hijau yang memiliki efek sedatif ringan (bikin ngantuk).,Tumis sayur.,Aman.
247,247,Sayur kaya zat besi peningkat Hb darah merah.,Sayur bening.,Aman.
248,248,Sayur pelancar cerna dan kaya vitamin K.,Tumis segar.,Aman.
249,249,Kaya sulforaphane pelawan sel kanker kuat.,Kukus sebentar (jangan terlalu matang).,Aman.
250,250,Pengganti nasi rendah karbohidrat untuk diet diabetes.,Parut dan sangrai sebagai nasi.,Aman.
251,251,Sayuran pencegah cacingan dan anti-diabetes ringan.,Sayur lodeh/tumis.,Aman.
252,252,Biji labu kuning ampuh usir cacing pita di usus.,Sangrai biji labu.,Aman.
253,253,Sayur pereda tekanan darah tinggi instan.,Kukus dan lalap.,Aman.
254,254,Penghidrasi tubuh dan pereda iritasi mata.,Jus atau tempel di mata.,Aman.
255,255,Sayur penurun kolesterol jahat.,Kukus/tumis.,Aman.
256,256,Bagus untuk sendi dan otot.,Tumis/sayur.,Aman.
257,257,Kaya lemak sehat nabati.,Rebus/panggang.,Hati-hati bagi yang alergi kacang!
258,258,Protein nabati kuat untuk otot.,Rebus matang (bisa beracun jika mentah).,Aman setelah matang.
259,259,Kedelai muda tinggi asam folat untuk ibu hamil.,Kukus edamame.,Aman.
260,260,Superfood kaya Omega-3 penurun kolesterol (Flaxseed).,Tumbuk biji sebelum dicampur minuman.,Aman.
261,261,Biji mengembang superfood pengenyang diet.,Rendam dalam air.,Aman.
262,262,Gandum super pengganti nasi penuh protein utuh.,Rebus seperti nasi.,Aman.
263,263,Penyerap kolesterol usus terbaik (beta-glukan).,Seduh oat dengan air panas.,Aman.
264,264,Sumber energi karbohidrat kompleks.,Olah jadi roti gandum utuh.,Aman (kecuali alergi gluten).
265,265,Biji-bijian bebas gluten kaya antioksidan.,Rebus seperti nasi.,Aman.
266,266,Rambut jagung ampuh luruhkan batu ginjal.,Rebus rambut jagung.,Aman.
267,267,Beras diet dengan serat lapis tinggi.,Masak sebagai nasi.,Aman.
268,268,Beras antioksidan tertinggi (antosianin).,Masak sebagai nasi.,Aman.
269,269,Umbi karbohidrat bebas gluten.,Kukus/rebus.,Awas asam sianida jika mentah.
270,270,Umbi super diet pereda asam lambung.,Kukus ubi.,Aman.
271,271,Jus kentang mentah untuk obat maag akut.,Jus kentang segar saring airnya.,Aman.
272,272,Umbi berserat tinggi pelindung usus.,Kukus matang (hilangkan getah gatal).,Aman.
273,273,Tepung ganyong baik untuk bayi dan maag.,Rebus umbi ganyong.,Aman.
274,274,Tepung garut obat lambung tradisional terbaik.,Seduh tepung garut jadi bubur.,Aman.
275,275,Umbi konjak penurun berat badan (shirataki alami).,Olah secara profesional (sangat gatal).,Aman setelah diolah pabrik.
276,276,Umbi penurun indeks glikemik penderita diabetes.,Rebus/kukus matang.,Aman.
277,277,Jahe terpedas pelega radang tenggorokan kronis.,Seduh jahe merah geprek.,Aman.
278,278,"Jahe ukuran besar, rasa lebih ringan untuk masak.",Bumbu kuah.,Aman.
279,279,Kunyit eksotis langka penyembuh kista rahim.,Rebus rimpang.,Aman.
280,280,Bawang fermentasi hitam penekan kanker paru.,Makan 2 siung tiap pagi.,Aman.
281,281,"Bawang putih satu siung (lanang), 3x lebih kuat atasi kolesterol.",Geprek dan telan.,Aman.
282,282,Ginseng yang berefek mendinginkan tubuh (Yin).,Seduh teh akar.,Aman.
283,283,Adaptogen kuat peningkat imun tanpa debar jantung.,Kapsul ekstrak.,Aman.
284,284,Ginseng khusus menyeimbangkan hormon wanita.,Rebus akar.,Aman.
285,285,Akar pembangun imun dan pelindung DNA (telomer).,Rebus untuk kuah sup.,Aman.
286,286,"Jamur ulat dari Tibet, super stamina paru-paru.",Rebus/ekstrak jamur.,Aman.
287,287,Jamur keabadian pelawan sel kanker aktif.,Teh jamur reishi.,Aman.
288,288,Jamur lezat penurun kolesterol instan.,Masak dalam sup.,Aman.
289,289,Jamur peningkat sel natural killer (imun pelawan tumor).,Tumis jamur maitake.,Aman.
290,290,Alga hijau biru protein terlengkap di bumi.,Minum bubuk/kapsul spirulina.,Aman.
291,291,Alga hijau pendetoks logam berat terdalam tubuh.,Kapsul chlorella.,Aman.
292,292,Kacang mahal tinggi lemak tak jenuh ganda.,Makan langsung.,Aman.
293,293,Kacang pelindung saraf otak pencegah pikun.,Panggang dan makan.,Aman.
294,294,"Kacang bentuk otak, kaya Omega 3 tertinggi.",Makan langsung.,Aman.
295,295,Kacang pelindung jantung.,Panggang.,Aman.
296,296,Kacang hijau kecil pelancar peredaran darah.,Panggang.,Aman.
297,297,"Buah asam merah, obat infeksi saluran kemih paling paten.",Jus cranberry murni tanpa gula.,Aman.
298,298,Buah biru kaya antioksidan pencegah degenerasi makula mata.,Makan segar.,Aman.
299,299,Beri hitam pereda radang gusi.,Makan segar.,Aman.
300,300,Beri merah pereda kram perut haid.,Teh daun raspberry atau makan buahnya.,Aman.
301,301,Superfood penjaga kesehatan mata dan sumber antioksidan tinggi.,Seduh bersama teh atau makan langsung.,Sangat aman.
302,302,Beri super dari Amazon untuk detoks dan energi.,Campurkan bubuknya ke dalam smoothies.,Sangat aman.
303,303,Sirup herbal andalan untuk menangkal flu dan radang tenggorokan.,Rebus buah matang dengan madu (jangan makan mentah).,Aman setelah dimasak. Buah mentah sedikit toksik.
304,304,Minyak dan buah kaya Omega-7 untuk meregenerasi kulit dan lambung.,Jus buah atau konsumsi minyaknya.,Sangat aman.
305,305,Salah satu sumber Vitamin C tertinggi di dunia botani.,Campur bubuk ke air minum.,Aman (awas perut perih jika maag).
306,306,"Pohon kehidupan, buahnya kaya prebiotik usus.",Seduh bubuk baobab.,Sangat aman.
307,307,Akar kayu Kalimantan penekan sel tumor dan kanker.,Rebus batang kayu hingga air kemerahan.,Aman dosis wajar.
308,308,Akar kuning kuat untuk pengobatan liver dan penyakit kuning.,Rebus irisan akar kuning.,"Aman, konsultasi dokter jika liver parah."
309,309,Herbal aromatik perangsang gairah dan penenang saraf.,Seduh teh daun damiana.,Aman.
310,310,Tanaman sensitif yang direbus untuk meredakan insomnia kronis.,Rebus seluruh tanaman yang sudah dicuci bersih.,Aman.
311,311,Gulma pengganggu yang umbinya ampuh melancarkan siklus haid.,Rebus umbi teki.,Aman.
312,312,Tanaman rahasia wanita Melayu untuk pemulihan pasca bersalin.,Rebus daun/akar (biasanya dalam bentuk jamu ekstraksi).,Jangan digunakan saat hamil (memicu kontraksi).
313,313,Bunga ungu liar untuk peluruh batu ginjal ringan.,Rebus herba jarong.,Aman.
314,314,Daun hijau mengkilat penyembuh demam dan sariawan usus.,Remas daun di air minum.,Aman.
315,315,Bunga merah soka untuk obat disentri tradisional.,Rebus bunga dan akar.,Aman.
316,316,Kelopak bunga kertas penurun gula darah.,Seduh kelopak bunga kering.,Aman.
317,317,Bunga indah dengan senyawa pembasmi leukemia parah.,Sangat dibatasi karena toksik.,Sangat berbahaya jika diracik sembarangan (racun).
318,318,Daun pencegah kerontokan rambut terampuh.,Tumbuk dan gosokkan ke kulit kepala.,Aman pemakaian luar.
319,319,Rumput laut kaya yodium pengatur tiroid.,Campur dalam kaldu sup.,Aman (jangan berlebih bagi penderita hipertiroid).
320,320,Rumput laut hijau penurun kolesterol dan pembakar lemak perut.,Salad atau sup miso.,Aman.
321,321,Penyedap rasa umami alami (MSG alami) pembangun tulang.,Rebus untuk kaldu.,Aman.
322,322,"Bahan pembuat karagenan, pelapis dinding lambung.",Rebus sebagai agar-agar/es campur.,Sangat aman.
323,323,Jamur pangan pembangun otot dan penurun kolesterol.,Tumis matang.,Aman.
324,324,Jamur hitam pelancar sirkulasi darah (pengencer darah alami).,Masak di sup.,Aman.
325,325,Jamur bulat pencegah kanker prostat.,Tumis segar.,Aman.
326,326,Jamur panjang putih peningkat imun pencernaan.,Rebus matang.,Wajib masak matang (cegah listeria).
327,327,Jamur tropis sumber tembaga dan kalium.,Tumis/rebus.,Aman.
328,328,Getah damar wangi untuk antiseptik dan penenang.,Bakar untuk aromaterapi.,Aman untuk inhalasi.
329,329,Pohon penghasil kamper pengusir serangga dan pereda gatal.,Oleskan ekstrak pada kulit.,Jangan ditelan.
330,330,Kristal getah wangi untuk pengawetan dan disinfektan tradisional.,Gunakan untuk luar.,Sangat beracun jika tertelan langsung.
331,331,Getah pohon untuk plester luka tradisional.,Lelehkan getah ke luka.,Aman luar.
332,332,Getah suci arab pereda radang sendi terkuat (Boswellia).,Konsumsi suplemen atau bakar getahnya.,Aman.
333,333,Resin antiseptik ampuh pembunuh bakteri mulut.,Gunakan ekstrak untuk obat kumur.,Aman luar/kumur.
334,334,Antidepresan herbal paling terkenal di Eropa.,Seduh bunga kering (teh).,Hati-hati berinteraksi dengan HAMPIR SEMUA obat dokter.
335,335,Pelindung dan regenerator sel hati (liver) terbaik dunia.,Konsumsi kapsul ekstrak/biji.,Aman.
336,336,Obat herbal nomor satu untuk pembengkakan prostat (BPH).,Ekstrak buah standar.,Aman.
337,337,Akar pelega hot flashes (panas mendadak) saat menopause.,Rebusan akar kering.,Aman dosis wajar.
338,338,Minyak bunga pereda nyeri payudara PMS.,Kapsul minyak (EPO).,Aman.
339,339,Daun peluntur lemak (pencahar sangat kuat).,Seduh daun jati cina.,Jangan digunakan lebih dari 1 minggu (merusak usus).
340,340,Bunga salep penyembuh lebam dan memar otot.,Oleskan salep arnica.,"Hanya untuk pemakaian luar, beracun ditelan."
341,341,Bunga jingga penenang kulit bayi kemerahan/eksim.,Oleskan salep/minyak calendula.,Sangat aman (kulit).
342,342,Air ekstrak daun pengempes ambeien dan jerawat.,Kompres area wasir/wajah.,Sangat aman (kulit).
343,343,Beri merah penguat detak jantung dan pelancar pembuluh koroner.,Teh buah hawthorn.,Aman (konsultasi jika minum obat jantung).
344,344,Beri penguat pembuluh darah mata dan retina.,Makan langsung/jus.,Sangat aman.
345,345,Akar emas adaptogen pembasmi kelelahan mental.,Kapsul/teh akar.,Aman.
346,346,Beri 5 rasa penjaga kesehatan liver dan fokus otak.,Teh buah kering.,Aman.
347,347,Daun gatal namun sangat ampuh kurangi radang sendi dan alergi.,Rebus daun (gatal akan hilang saat masak).,"Gatal parah jika mentah, sangat aman jika matang."
348,348,Akar dandelion pembersih liver dan diuretik ginjal alami.,Teh akar/daun jombang.,Aman.
349,349,Akar burdock (gobou) pembersih darah dari racun.,Rebus akar (sering jadi sayur Jepang).,Aman.
350,350,Daun bergerigi penutup luka berdarah (hemostatik).,Tumbuk dan tempelkan ke luka.,Aman.
351,351,Bunga/daun beludru pelega paru-paru dan asma.,Teh daun mullein.,Aman.
352,352,Akar penyambung tulang retak.,Bobok akar ke area cedera tulang.,Hanya pemakaian luar (ditelan merusak liver).
353,353,Baru cina pereda nyeri haid dan melancarkan sirkulasi panggul.,Rebus daun segar.,Aman.
354,354,Apsintus daun super pahit pembunuh parasit lambung.,Seduhan teh ringan.,Hati-hati dosis tinggi (neurotoksik thujone).
355,355,Daun inggu pengusir kejang dan racun (tradisional).,Rebus sedikit daun.,Dosis tinggi toksik.
356,356,Daun wangi lemon penenang sistem saraf dan usir cemas.,Teh seduh segar.,Sangat aman.
357,357,Buah berbulu jaring pereda darah tinggi dan sedatif.,Makan buah matang (kuning).,Buah mentah (hijau) beracun sianida.
358,358,Akar kuning cina penenang dan anti-radang alergi kuat.,Rebusan akar.,Aman.
359,359,"Bunga pembuat bir, penenang saraf agar tidur lelap.",Teh bunga hops.,Aman.
360,360,"Ganja kucing (buat kucing euforia), tapi pada manusia jadi penenang perut.",Teh daun catnip.,Aman.
361,361,Minyak biji borage untuk meredakan radang sendi (GLA tinggi).,Kapsul minyak.,Aman.
362,362,Daun krisan kecil pencegah serangan migrain hebat.,Makan 1-2 helai daun segar/teh.,Aman.
363,363,Kulit dedalu putih adalah sumber asli Aspirin pereda nyeri.,Rebus kulit kayu.,Awas iritasi lambung seperti aspirin.
364,364,Akar sarsaparilla pembersih penyakit kulit (psoriasis).,Teh rebusan akar.,Aman.
365,365,Kulit kayu berlendir pelapis tenggorokan serak dan maag.,Seduh serbuk kayu (jadi gel).,Sangat aman.
366,366,"Akar pembuat marshmallow asli, penyejuk lambung dan radang.",Seduh akar (mucilage tinggi).,Sangat aman.
367,367,Bunga semanggi merah kaya fitoestrogen untuk wanita menopause.,Teh bunga.,Aman.
368,368,Herba alfalfa pencuci darah dan kaya mineral kalsium nabati.,Jus atau kecambah (sprouts).,Aman.
369,369,Lobak putih pembersih panas paru dan pencair dahak.,Rebus kuah bening.,Aman.
370,370,Bit pembangun sel darah merah pekat dan stamina pembuluh darah (Nitrat).,Jus bit murni.,Aman (urin bisa memerah).
371,371,Sayur hijau penambah stamina lambung dan penghangat darah.,Campur masakan telur.,Aman.
372,372,Umbi air pendingin tubuh dan mencerahkan kulit wajah (fitoestrogen).,Makan mentah atau parut masker.,Aman (biji dan daun sangat beracun).
373,373,Biji wangi pembuat parfum alami pembuka blokir pencernaan.,Bumbu jamu.,Aman.
374,374,"Bunga wangi malam hari pereda stres, diolah jadi parfum penenang.",Inhalasi/minyak atsiri.,Aman luar.
375,375,Bunga air penenang debar jantung dan panas dalam.,Rebus kelopak bunga.,Aman.
376,376,Minyak daun gondopuro murni (Wintergreen) untuk balsem gosok pegal parah.,Minyak gosok.,Sangat toksik jika diminum (1 sendok bisa fatal!).
377,377,Bunga pacar air peluruh haid dan rematik tradisional.,Rebus akar/daun.,"Aman luar, dosis oral dibatasi."
378,378,Bunga kuning butir kecil pewangi teh penurun perut kembung.,Campur teh hijau.,Aman.
379,379,Daun pacar kuku (Henna) anti-jamur kutu air terbaik.,Tumbuk dan balur ke kuku/kulit.,Sangat aman (luar).
380,380,Kulit pohon soga pewarna coklat batik dan obat disentri.,Rebus kulit kayu.,Aman.
381,381,Biji lamtoro (petai cina) ampuh basmi cacing usus anak.,Makan mentah secukupnya.,Aman (awas rambut rontok jika makan daunnya bagi hewan).
382,382,Biji bau tajam pembersih ginjal (diuretik kuat).,Makan matang/mentah.,Bisa memicu gagal ginjal akut (jengkolan/kristal) jika berlebih!
383,383,Biji bau yang melancarkan kencing dan cuci darah tradisional.,Makan matang (rebus lama).,Awas asam jengkolat pembuat batu ginjal jika dehidrasi!
384,384,Buah asam kecil kekuningan peluntur lemak dan sembelit.,Manisan/asinan buah.,Aman (awas diare).
385,385,Buah ceri lokal manis penurun asam urat ampuh (rebusan daunnya).,Rebus daun kersen.,Aman.
386,386,"Buah ungu sepat manis, rajanya penurun gula darah (biji dan kulit kayu).",Rebus biji/kulit batang.,Aman.
387,387,Buah masam pewarna ungu pereda mabuk alkohol.,Makan segar.,Aman.
388,388,Buah asam manis pembuat sambal penyegar panas dalam.,Rujak buah/sambal.,Aman.
389,389,Buah renyah berserat penguat gigi dan pereda batuk.,Makan segar/rujak.,Aman.
390,390,Buah bintang penurun darah tinggi kuat.,Jus buah.,DILARANG KERAS bagi penderita gagal ginjal (mengandung neurotoksin caramboxin).
391,391,Manggis kuning asam pereda sariawan raksasa.,Makan segar.,Aman.
392,392,Buah merah sepat pereda diare.,Pijat buah hingga memar baru dimakan (hilangkan sepat).,Aman.
393,393,Buah buni kaya zat besi pelawan anemia.,Makan buah matang gelap.,Aman.
394,394,Buah kecapi obat cacing gelang dan sariawan.,Makan segar.,"Aman (jangan telan bijinya, bisa merobek usus!)."
395,395,"Buah keriput asam di batang, obat kencing batu.",Rebus buah/daun.,Aman.
396,396,"Buah mentega bulu merah, kaya serat dan pelindung lambung.",Makan daging buahnya.,Aman (kupas bersih bulu gatalnya).
397,397,"Buah mirip nangka wangi tajam, penyembuh malaria (kulit batang).",Makan buah / rebus kulit batang.,Aman.
398,398,Buah masam bulat pereda radang mata.,Makan segar.,Aman.
399,399,Varian duku asam pereda disentri parah (bijinya).,Tumbuk bijinya (sangat pahit).,Aman.
400,400,Buah sayur mirip sukun dengan biji gurih pendongkrak gizi stunting.,Rebus biji/sayur keluwih.,Aman.
401,401,Buah asam kaya vitamin C untuk rambut dan kulit ala India.,Jus buah amla atau konsumsi manisan.,Aman.
402,402,"Daun sangat pahit penyembuh gatal, alergi, dan kutu kulit.",Rebus daun untuk mandi atau oleskan minyak neem.,"Aman (pemakaian luar), konsumsi oral dibatasi."
403,403,Herba air peningkat memori dan fokus otak.,Konsumsi ekstrak atau seduh sebagai teh.,Aman.
404,404,Buah ajaib detoksifikasi pencernaan ala Ayurweda.,Seduh bubuk buah kering.,Aman.
405,405,Peluruh lendir dan penyehat sistem pernapasan.,Rebus buah kering.,Aman.
406,406,Ginseng wanita pembantu kesuburan dan produksi ASI.,Seduh bubuk akar dengan susu hangat.,Aman.
407,407,Batang pelindung imun dan penurun demam.,Rebus batang dan minum airnya.,Aman.
408,408,Daun pemusnah rasa manis untuk mengontrol diabetes.,Kunyah daun segar (gula akan terasa hambar).,Aman.
409,409,Akar kuat penambah stamina pria.,Konsumsi ekstrak standar.,Awas hipertensi.
410,410,Daun perangsang libido alami (Horny Goat Weed).,Seduh daun kering.,Aman.
411,411,Kacang kaya L-Dopa untuk penderita parkinson dan mood.,Olah matang atau ekstrak.,Toksik jika mentah (bisa halusinasi).
412,412,Daun pereda nyeri kuat seperti opioid namun herbal.,Seduh daun kering.,"Sangat adiktif, diatur ketat oleh undang-undang."
413,413,Ramuan spiritual Amazon peluruh trauma batin (psikoaktif).,Dilarang keras dibuat rumahan.,"Ilegal di banyak negara, psikoaktif kuat."
414,414,Minuman energi tradisional Amerika Selatan kaya kafein sehat.,Seduh dengan air panas dalam labu (gourd).,Aman.
415,415,"Teh merah Afrika Selatan tanpa kafein, super antioksidan.",Seduh seperti teh biasa.,Sangat aman.
416,416,Daun energi tinggi penambah fokus tanpa rasa gelisah.,Seduh daun kering.,Aman.
417,417,Kulit kayu afrodisiak dan penenang saraf.,Rebus kulit kayu.,Aman.
418,418,Akar kayu peningkat aliran darah panggul (Potency wood).,Rebus akar/kayu.,Aman.
419,419,Kulit kayu pembakar lemak dan disfungsi ereksi.,Ekstrak murni.,Berbahaya bagi penderita jantung dan darah tinggi.
420,420,Kaktus Afrika penekan nafsu makan super kuat untuk diet.,Ekstrak standar.,Aman.
421,421,Kacang sumber kafein asli pembuat minuman cola.,Kunyah biji atau seduh.,Aman.
422,422,Akar pembasmi bronkitis dan infeksi saluran napas atas.,Ekstrak cair (Umcka).,Aman.
423,423,Akar Afrika pereda nyeri punggung bawah kronis.,Rebus akar atau ekstrak.,Awas penderita maag akut.
424,424,Herba peningkat mood dan anti-stres instan (legal).,Seduh sebagai teh (kanna).,Aman dosis rendah.
425,425,Getah manis pengganti gula untuk penderita diabetes.,Gunakan sirup agave.,Aman.
426,426,Buah kaktus pemulih hangover dan penurun kolesterol.,Jus buah.,Aman (awas duri halus).
427,427,Kacang mentega kaya mangan pelindung saraf otak.,Makan langsung/panggang.,Aman.
428,428,Kacang manis rendah lemak sumber karbohidrat kompleks.,Rebus atau panggang.,Aman.
429,429,Biji pinus penurun nafsu makan alami.,Makan langsung (pignoli).,Aman.
430,430,Satu kacang penuhi kebutuhan selenium harian (cegah kanker).,Makan 1-2 butir per hari.,Toksik selenium jika dimakan berlebih (>5 butir/hari).
431,431,Ginseng Brazil peningkat oksigenasi selular.,Seduh bubuk akar.,Aman.
432,432,Akar hitam penyubur rambut dan penghitam uban alami.,Rebus akar (harus akar yang sudah diolah/cured).,Akar mentah (uncured) toksik bagi liver.
433,433,Kurma merah Cina penenang lambung dan penambah darah.,Makan langsung/rebus kuah.,Aman.
434,434,Beri hitam paling pahit dengan antioksidan jantung tertinggi.,Jus murni/ekstrak.,Aman.
435,435,Beri ungu tua penurun mata kering dan anti-aging.,Campur bubuk ke smoothie.,Aman.
436,436,Ceri mungil dengan vitamin C 50x lipat dari jeruk.,Jus buah.,Aman.
437,437,Kulit buah mawar kaya vitamin C untuk nyeri sendi lutut.,Teh rosehip.,Aman.
438,438,Minyak buah pelembab kulit super (anti penuaan dini).,Oleskan minyak ke kulit.,Aman luar.
439,439,Kacang Inca Omega 3 penurun trigliserida darah.,Panggang dan makan.,Aman.
440,440,"Buah manis seperti karamel, pemanis aman diabetes.",Gunakan bubuk lucuma.,Aman.
441,441,Umbi renyah kaya inulin pembangun bakteri baik usus.,Makan segar seperti apel.,Aman.
442,442,Polong manis bebas gluten untuk tepung diet sehat.,Gunakan tepung mesquite.,Aman.
443,443,Biji sangat kecil kaya kalsium dan besi pelawan anemia.,Masak sebagai bubur/roti.,Aman.
444,444,Biji burung bernutrisi alkali penurun asam lambung.,Masak seperti nasi.,Aman.
445,445,Biji kaya rutin pelancar peredaran darah vena.,Masak seperti mie (soba).,Aman.
446,446,Gandum purba lebih mudah dicerna lambung sensitif.,Olah jadi roti.,Awas alergi gluten.
447,447,Gandum antioksidan pelindung sel penunda lapar.,Olah jadi pasta.,Awas alergi gluten.
448,448,Pengganti coklat bebas kafein aman untuk penderita GERD.,Gunakan bubuk carob.,Aman.
449,449,Akar pengganti kopi yang membersihkan liver (tanpa kafein).,Seduh bubuk akar sangrai.,Aman.
450,450,Akar kuning pelancar BAB dan detoks kulit berjerawat.,Teh akar.,Awas kram perut dosis tinggi.
451,451,Biji peluruh gas perut (karminatif) super ampuh.,Seduh biji caraway.,Aman.
